"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z011E0039",11,110.81,"bottom"
"CL-blue","Z020E0175",20,110.81,"bottom"
"CL-blue","Z004E0167",4,110.82,"bottom"
"CL-blue","Z025E0063",25,110.82,"bottom"
"CL-blue","Z005E0127",5,110.86,"bottom"
"CL-blue","Z008E0132",8,110.89,"bottom"
"CL-blue","Z013E0065",13,110.89,"bottom"
"CL-blue","Z024E0192",24,110.9,"bottom"
"CL-blue","Z010E0098",10,110.91,"bottom"
"CL-blue","Z021E0029",21,110.93,"bottom"
"CL-blue","Z011E0020",11,110.98,"bottom"
"CL-blue","Z020E0018",20,110.98,"bottom"
"CL-blue","Z026E0019",26,110.98,"bottom"
"CL-blue","Z025E0026",25,111.01,"bottom"
"CL-blue","Z024E0179",24,111.15,"bottom"
"CL-blue","Z013E0053",13,111.18,"bottom"
"CL-blue","Z012E0035",12,111.21,"bottom"
"CL-blue","Z008E0174",8,111.23,"bottom"
"CL-blue","Z010E0190",10,111.27,"bottom"
"CL-blue","Z008E0114",8,111.29,"bottom"
"CL-blue","Z008E0044",8,111.3,"bottom"
"CL-blue","Z024E0144",24,111.32,"bottom"
"CL-blue","Z026E0079",26,111.32,"bottom"
"CL-blue","Z006E0164",6,111.33,"bottom"
"CL-blue","Z024E0021",24,111.33,"bottom"
"CL-blue","Z024E0121",24,111.35,"bottom"
"CL-blue","Z020E0135",20,111.36,"bottom"
"CL-blue","Z021E0112",21,111.37,"bottom"
"CL-blue","Z010E0184",10,111.41,"bottom"
"CL-blue","Z016E0115",16,111.42,"bottom"
"CL-blue","Z004E0081",4,111.46,"bottom"
"CL-blue","Z021E0196",21,111.46,"bottom"
"CL-blue","Z015E0200",15,111.5,"bottom"
"CL-blue","Z005E0027",5,111.51,"bottom"
"CL-blue","Z010E0182",10,111.56,"bottom"
"CL-blue","Z008E0120",8,145.65,"top"
"CL-blue","Z009E0155",9,145.65,"top"
"CL-blue","Z009E0134",9,145.71,"top"
"CL-blue","Z014E0095",14,145.71,"top"
"CL-blue","Z002E0097",2,145.72,"top"
"CL-blue","Z014E0076",14,145.74,"top"
"CL-blue","Z003E0057",3,145.74999999999997,"top"
"CL-blue","Z003E0129",3,145.74999999999997,"top"
"CL-blue","Z020E0137",20,145.78,"top"
"CL-blue","Z001E0181",1,145.81,"top"
"CL-blue","Z003E0083",3,145.81,"top"
"CL-blue","Z015E0134",15,145.85,"top"
"CL-blue","Z002E0176",2,145.89,"top"
"CL-blue","Z009E0009",9,145.93,"top"
"CL-blue","Z003E0055",3,145.94,"top"
"CL-blue","Z001E0078",1,146,"top"
"CL-blue","Z012E0123",12,146.02,"top"
"CL-blue","Z023E0076",23,146.03,"top"
"CL-blue","Z022E0063",22,146.04,"top"
"CL-blue","Z009E0147",9,146.06,"top"
"CL-blue","Z014E0004",14,146.08,"top"
"CL-blue","Z012E0076",12,146.13,"top"
"CL-blue","Z006E0149",6,146.15,"top"
"CL-blue","Z003E0080",3,146.17,"top"
"CL-blue","Z025E0126",25,146.18,"top"
"CL-blue","Z002E0055",2,146.19,"top"
"CL-blue","Z001E0182",1,146.24,"top"
"CL-blue","Z007E0076",7,146.26,"top"
"CL-blue","Z012E0170",12,146.3,"top"
"CL-blue","Z013E0129",13,146.3,"top"
"CL-blue","Z019E0084",19,146.32,"top"
"CL-blue","Z018E0014",18,146.33,"top"
"CL-blue","Z001E0107",1,146.39,"top"
"CL-blue","Z002E0016",2,146.39,"top"
"CL-blue","Z012E0059",12,146.42,"top"
"CL-blue","Z002E0020",2,146.46,"top"
"CL-blue","Z002E0143",2,146.47,"top"
"CL-blue","Z021E0085",21,146.48,"top"
"CL-blue","Z022E0008",22,146.48,"top"
"CL-blue","Z008E0080",8,146.49,"top"
"CL-blue","Z003E0029",3,146.54,"top"
"CL-blue","Z015E0136",15,146.59,"top"
"CL-blue","Z016E0093",16,146.59,"top"
"CL-blue","Z023E0133",23,146.63,"top"
"CL-blue","Z002E0002",2,146.64,"top"
"CL-blue","Z007E0176",7,146.64,"top"
"CL-blue","Z009E0102",9,146.65,"top"
"CL-blue","Z010E0003",10,146.65,"top"
"CL-blue","Z019E0113",19,146.65,"top"
"CL-blue","Z016E0064",16,146.68,"top"
"CL-blue","Z002E0022",2,146.69,"top"
"CL-blue","Z020E0013",20,146.7,"top"
"CL-blue","Z025E0047",25,146.7,"top"
"CL-blue","Z009E0149",9,146.74,"top"
"CL-blue","Z002E0099",2,146.75,"top"
"CL-blue","Z009E0068",9,146.75,"top"
"CL-blue","Z020E0075",20,146.75,"top"
"CL-blue","Z002E0110",2,146.78,"top"
"CL-blue","Z019E0198",19,146.78,"top"
"CL-blue","Z015E0148",15,146.79,"top"
