"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z008E0120",8,145.65,"top"
"CL-blue","Z008E0080",8,146.49,"top"
"CL-blue","Z008E0158",8,150.55,"top"
"CL-blue","Z008E0083",8,152.91,"top"
"CL-blue","Z008E0170",8,161.32,"top"
"CL-blue","Z009E0097",9,99.13,"bottom"
"CL-blue","Z009E0122",9,103.31,"bottom"
"CL-blue","Z009E0082",9,103.94,"bottom"
"CL-blue","Z009E0038",9,104.59,"bottom"
"CL-blue","Z009E0181",9,105.19,"bottom"
"CL-blue","Z009E0093",9,106.09,"bottom"
"CL-blue","Z009E0078",9,107.77,"bottom"
"CL-blue","Z009E0112",9,109.78,"bottom"
"CL-blue","Z009E0096",9,110.19,"bottom"
"CL-blue","Z009E0117",9,110.54,"bottom"
"CL-blue","Z009E0080",9,110.73,"bottom"
"CL-blue","Z009E0094",9,112.66,"bottom"
"CL-blue","Z009E0107",9,113.68,"bottom"
"CL-blue","Z009E0039",9,114.46,"bottom"
"CL-blue","Z009E0060",9,114.86,"bottom"
"CL-blue","Z009E0050",9,115.55,"bottom"
"CL-blue","Z009E0177",9,115.7,"bottom"
"CL-blue","Z009E0042",9,115.75,"bottom"
"CL-blue","Z009E0149",9,146.74,"top"
"CL-blue","Z009E0068",9,146.75,"top"
"CL-blue","Z009E0045",9,147.63,"top"
"CL-blue","Z009E0113",9,148.15,"top"
"CL-blue","Z009E0152",9,148.62,"top"
"CL-blue","Z009E0033",9,148.64,"top"
"CL-blue","Z009E0061",9,149.16,"top"
"CL-blue","Z009E0049",9,149.27,"top"
"CL-blue","Z009E0132",9,151.1,"top"
"CL-blue","Z009E0146",9,151.58,"top"
"CL-blue","Z009E0190",9,152.43,"top"
"CL-blue","Z009E0010",9,152.71,"top"
"CL-blue","Z009E0086",9,153.34,"top"
"CL-blue","Z009E0165",9,155.71,"top"
"CL-blue","Z009E0028",9,157.55,"top"
"CL-blue","Z009E0144",9,157.86,"top"
"CL-blue","Z009E0161",9,178.67,"top"
"CL-blue","Z010E0049",10,97.74,"bottom"
"CL-blue","Z010E0151",10,99.08,"bottom"
"CL-blue","Z010E0066",10,100.42,"bottom"
"CL-blue","Z010E0082",10,102.5,"bottom"
"CL-blue","Z010E0155",10,104.13,"bottom"
"CL-blue","Z010E0180",10,105.37,"bottom"
"CL-blue","Z010E0081",10,105.81,"bottom"
"CL-blue","Z010E0021",10,108.22,"bottom"
"CL-blue","Z010E0009",10,108.3,"bottom"
"CL-blue","Z010E0107",10,108.43,"bottom"
"CL-blue","Z010E0028",10,109.46,"bottom"
"CL-blue","Z010E0129",10,109.84,"bottom"
