pop,Geno_Code,CL-blue
4,Z004E0130,126.03
4,Z004E0131,108.08
4,Z004E0132,133.17
4,Z004E0133,119.09
4,Z004E0134,110.42
4,Z004E0135,118.3
4,Z004E0136,134.4
4,Z004E0137,129.86
4,Z004E0138,128.36
4,Z004E0139,126.76
4,Z004E0140,120.67
4,Z004E0141,126.65
4,Z004E0142,114.87
4,Z004E0144,120.51
4,Z004E0145,133.43
4,Z004E0146,133.86
4,Z004E0147,113.76
4,Z004E0148,138.62
4,Z004E0149,123.53
4,Z004E0150,133.27
4,Z004E0151,136.15
4,Z004E0152,131.87
4,Z004E0153,137.61
4,Z004E0154,133.49
4,Z004E0155,118.54
4,Z004E0157,130.41
4,Z004E0158,124.99
4,Z004E0159,143.68
4,Z004E0160,115.03
4,Z004E0161,113.62
4,Z004E0162,126.62
4,Z004E0163,132.34
4,Z004E0164,129.18
4,Z004E0165,109.48
4,Z004E0166,137.91
4,Z004E0167,110.82
4,Z004E0168,132.64
4,Z004E0169,118.3
4,Z004E0170,137.29
4,Z004E0171,98.74
4,Z004E0172,123
4,Z004E0173,112.25
4,Z004E0174,120.36
4,Z004E0175,113.52
4,Z004E0176,133.4
4,Z004E0177,137.28
4,Z004E0178,119.26
4,Z004E0179,110.42
4,Z004E0180,119.67
4,Z004E0181,124.53
4,Z004E0182,115.14
4,Z004E0183,122.98
4,Z004E0184,119.5
4,Z004E0185,129.67
4,Z004E0186,132.07
4,Z004E0187,145.4
4,Z004E0188,130.48
4,Z004E0189,123.78
4,Z004E0190,115.76
4,Z004E0191,126.59
4,Z004E0192,114.78
4,Z004E0193,114.11
4,Z004E0194,119.98
4,Z004E0195,126.42
4,Z004E0196,113.43
4,Z004E0197,135.86
4,Z004E0198,130.09
4,Z004E0200,120.6
5,Z005E0001,150.85
5,Z005E0003,118.17
5,Z005E0006,103.58
5,Z005E0007,118.69
5,Z005E0008,107.06
5,Z005E0009,129.47
5,Z005E0010,133.73
5,Z005E0011,125.07
5,Z005E0012,133.81
5,Z005E0013,139.49
5,Z005E0014,153.24
5,Z005E0015,125.35
5,Z005E0016,125.11
5,Z005E0017,112.96
5,Z005E0019,123.77
5,Z005E0020,133.92
5,Z005E0021,129.2
5,Z005E0022,121
5,Z005E0023,115.91
5,Z005E0024,132.31
5,Z005E0025,129.08
5,Z005E0027,111.51
5,Z005E0028,114.7
5,Z005E0029,128.17
5,Z005E0032,117.89
5,Z005E0033,135.61
5,Z005E0034,117.58
5,Z005E0035,126.69
5,Z005E0036,115.79
5,Z005E0037,120.93
5,Z005E0038,125.16
5,Z005E0039,114.12
5,Z005E0040,116.14
5,Z005E0042,138.14
5,Z005E0043,115.71
5,Z005E0044,123.73
5,Z005E0045,107.29
5,Z005E0046,122.11
5,Z005E0047,144.8
5,Z005E0048,126.84
5,Z005E0049,122.84
5,Z005E0053,128.27
5,Z005E0054,115.11
5,Z005E0055,102.65
5,Z005E0056,119.18
5,Z005E0057,140.54
5,Z005E0058,103.92
5,Z005E0059,91.34
5,Z005E0060,132.09
5,Z005E0061,124.88
5,Z005E0062,117.56
5,Z005E0063,120.06
5,Z005E0064,131.73
5,Z005E0066,97.15
5,Z005E0067,115.3
5,Z005E0068,155.28
5,Z005E0069,139.53
5,Z005E0070,106.19
5,Z005E0071,125.81
5,Z005E0072,128.1
5,Z005E0074,135.54
5,Z005E0075,131.2
5,Z005E0076,108.81
5,Z005E0077,105.76
5,Z005E0078,120.45
5,Z005E0079,131.93
5,Z005E0080,143.03
5,Z005E0081,114.12
5,Z005E0082,120.18
5,Z005E0083,117.21
5,Z005E0084,110.1
5,Z005E0085,139.17
5,Z005E0087,123.61
5,Z005E0090,123.92
5,Z005E0093,123.59
5,Z005E0094,119.01
5,Z005E0095,112.99
5,Z005E0096,128.36
5,Z005E0097,139.4
5,Z005E0098,109.4
5,Z005E0099,114.47
5,Z005E0100,108.32
5,Z005E0101,113
5,Z005E0102,122.71
5,Z005E0103,124.62
5,Z005E0104,123.97
5,Z005E0105,114.52
5,Z005E0106,131.44
5,Z005E0107,128.33
5,Z005E0108,140.51
5,Z005E0109,137.76
5,Z005E0112,130.58
5,Z005E0113,105.34
5,Z005E0114,122.2
5,Z005E0115,113.58
5,Z005E0116,116.23
5,Z005E0117,117.67
5,Z005E0118,124.52
5,Z005E0119,117.48
5,Z005E0120,127.4
5,Z005E0121,133.48
5,Z005E0122,123.55
5,Z005E0123,127.87
5,Z005E0124,111.93
5,Z005E0125,127.07
5,Z005E0126,130.48
5,Z005E0127,110.86
5,Z005E0128,133.8
5,Z005E0129,123.4
5,Z005E0130,109.46
5,Z005E0131,110.63
5,Z005E0133,150.52
5,Z005E0134,137.63
5,Z005E0135,136.91
5,Z005E0136,114.42
5,Z005E0137,120.81
5,Z005E0138,126.74
5,Z005E0139,122.78
5,Z005E0141,123.43
5,Z005E0142,130.11
5,Z005E0143,118.87
5,Z005E0144,139.89
5,Z005E0145,125.19
5,Z005E0146,139.64
5,Z005E0148,123.61
5,Z005E0149,125.56
5,Z005E0150,132.3
5,Z005E0151,121.32
5,Z005E0152,97.16
5,Z005E0153,125.85
5,Z005E0154,118.85
5,Z005E0155,127.76
5,Z005E0157,121.97
5,Z005E0158,124.02
5,Z005E0159,141.16
5,Z005E0160,117.26
5,Z005E0161,119.91
5,Z005E0162,129.84
5,Z005E0163,105.85
5,Z005E0164,137.54
5,Z005E0165,123.99
5,Z005E0166,123.21
5,Z005E0167,112.92
5,Z005E0168,124.36
5,Z005E0169,123.98
5,Z005E0170,135.76
5,Z005E0171,130.57
5,Z005E0172,149.82
5,Z005E0173,141.46
5,Z005E0174,134.77
5,Z005E0175,113.11
5,Z005E0176,117.62
5,Z005E0179,124.34
5,Z005E0180,134.57
5,Z005E0181,112.84
5,Z005E0182,132.64
5,Z005E0183,114.1
5,Z005E0184,127.79
5,Z005E0185,138.61
5,Z005E0186,113.02
5,Z005E0187,129.38
5,Z005E0189,136.13
5,Z005E0190,130.05
5,Z005E0191,103.98
5,Z005E0192,109.22
5,Z005E0193,120.49
5,Z005E0195,137.38
5,Z005E0196,129.31
5,Z005E0197,150.84
5,Z005E0198,121.4
5,Z005E0199,114.63
6,Z006E0001,135.74
6,Z006E0002,144.87
6,Z006E0003,123.02
6,Z006E0006,122.74
6,Z006E0007,112.33
6,Z006E0008,105.9
6,Z006E0009,117.93
6,Z006E0010,126.61
6,Z006E0011,124.12
6,Z006E0012,105.5
6,Z006E0014,111.96
6,Z006E0015,117.49
6,Z006E0017,104.85
6,Z006E0018,121.15
6,Z006E0020,115.18
6,Z006E0024,123.37
6,Z006E0025,129.64
6,Z006E0026,130.14
6,Z006E0028,150.55
6,Z006E0029,124.24
6,Z006E0031,124.49
6,Z006E0032,126.12
6,Z006E0033,129.35
6,Z006E0034,125.71
6,Z006E0035,145.54
6,Z006E0036,124.08
6,Z006E0037,137.25
6,Z006E0038,127.11
6,Z006E0041,125.16
6,Z006E0042,125.59
6,Z006E0043,112.29
6,Z006E0044,136.11
6,Z006E0046,130.96
6,Z006E0047,137.58
6,Z006E0048,129.36
6,Z006E0049,137.16
6,Z006E0050,130.69
6,Z006E0051,126.14
6,Z006E0053,123.04
6,Z006E0055,116.47
6,Z006E0056,138.65
6,Z006E0057,124.08
6,Z006E0058,128.28
6,Z006E0059,116.97
6,Z006E0060,124.92
6,Z006E0061,131.65
6,Z006E0065,138.93
6,Z006E0066,117.86
6,Z006E0068,131.3
6,Z006E0069,103.69
6,Z006E0070,129.97
6,Z006E0071,134.24
6,Z006E0072,123.4
6,Z006E0073,130.16
6,Z006E0074,129.61
6,Z006E0075,123.66
6,Z006E0076,117.5
6,Z006E0077,140.8
6,Z006E0078,102.11
6,Z006E0079,124.95
6,Z006E0080,124.33
6,Z006E0081,121.03
6,Z006E0082,118.37
6,Z006E0083,130.5
6,Z006E0084,129.98
6,Z006E0085,109.94
6,Z006E0086,135.92
6,Z006E0087,116.07
6,Z006E0089,138.45
6,Z006E0090,124.14
6,Z006E0091,138.88
6,Z006E0092,124.55
6,Z006E0093,110.63
6,Z006E0094,124.2
6,Z006E0095,125.01
6,Z006E0096,119.58
6,Z006E0097,123.35
6,Z006E0098,124.82
6,Z006E0099,124.66
6,Z006E0100,128.04
6,Z006E0101,103.86
6,Z006E0102,126.7
6,Z006E0103,121
6,Z006E0104,136.63
6,Z006E0105,127.39
6,Z006E0106,138.43
6,Z006E0107,116.97
6,Z006E0108,131.66
6,Z006E0109,127.31
6,Z006E0110,124.1
6,Z006E0111,119.63
6,Z006E0112,140.2
6,Z006E0113,133.73
6,Z006E0114,122.06
6,Z006E0115,125.17
6,Z006E0116,138.58
6,Z006E0117,123.49
6,Z006E0118,143.06
6,Z006E0119,110.17
6,Z006E0120,125.68
6,Z006E0121,122.62
6,Z006E0122,106.43
6,Z006E0123,141.89
6,Z006E0124,135.5
6,Z006E0125,117.63
6,Z006E0126,135.72
6,Z006E0128,116.92
6,Z006E0129,130.21
6,Z006E0133,119.53
6,Z006E0134,118.96
6,Z006E0135,139.75
6,Z006E0136,120.65
6,Z006E0137,123.26
6,Z006E0138,125.55
6,Z006E0139,115.06
6,Z006E0140,96.03
6,Z006E0141,135.86
6,Z006E0142,119.49
6,Z006E0143,122.72
6,Z006E0144,137.99
6,Z006E0145,149.53
6,Z006E0146,152.49
6,Z006E0147,124.99
6,Z006E0148,126.67
6,Z006E0149,146.15
6,Z006E0150,154.09
6,Z006E0151,109.91
6,Z006E0153,116.44
6,Z006E0154,130.79
6,Z006E0156,121.1
6,Z006E0157,141.57
6,Z006E0158,122.73
6,Z006E0159,130.39
6,Z006E0160,131.84
6,Z006E0161,121.68
6,Z006E0162,129.86
6,Z006E0163,115.37
6,Z006E0164,111.33
6,Z006E0165,118.8
6,Z006E0166,137.87
6,Z006E0167,126.07
6,Z006E0168,123.7
6,Z006E0169,130.44
6,Z006E0170,133.84
6,Z006E0172,127.24
6,Z006E0173,140.84
6,Z006E0174,122.76
6,Z006E0175,120.21
6,Z006E0176,114.07
6,Z006E0177,114.35
6,Z006E0178,154.88
6,Z006E0179,120.06
6,Z006E0180,143.47
6,Z006E0181,138.08
6,Z006E0182,118.26
6,Z006E0183,104.49
6,Z006E0184,121.69
6,Z006E0186,120.4
6,Z006E0187,124.2
6,Z006E0188,128.73
6,Z006E0190,130.18
6,Z006E0191,114.02
6,Z006E0192,130.65
6,Z006E0193,136.18
6,Z006E0194,140.7
6,Z006E0195,129.32
6,Z006E0196,130.56
6,Z006E0198,114.84
6,Z006E0199,131.09
6,Z006E0200,131
7,Z007E0001,130.23
7,Z007E0002,141.77
7,Z007E0003,128.61
7,Z007E0004,144.17
7,Z007E0005,114.99
7,Z007E0007,143.47
7,Z007E0008,107.95
7,Z007E0009,147.33
7,Z007E0010,121.54
